home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Brazil,Australia,2,0,Group stage,2006,2,6.0,1765.856297,27.0,1579.34264
France,Korea Republic,1,1,Group stage,2006,1,3.0,1869.428449,25.0,1591.630886
Portugal,IR Iran,2,0,Group stage,2006,2,5.0,1766.177547,20.0,1619.58163
Netherlands,Côte d'Ivoire,2,1,Group stage,2006,2,8.0,1751.097835,33.0,1540.869533
Mexico,Angola,0,0,Group stage,2006,1,14.0,1687.481759,89.0,1262.219698
Ecuador,Costa Rica,3,0,Group stage,2006,2,23.0,1598.51582,52.0,1457.00228
England,Trinidad and Tobago,2,0,Group stage,2006,2,4.0,1827.048678,103.0,1221.951833
Sweden,Paraguay,1,0,Group stage,2006,2,38.0,1509.785392,40.0,1505.349689
Spain,Ukraine,4,0,Group stage,2006,2,2.0,1873.013187,32.0,1549.287173
Tunisia,Saudi Arabia,2,2,Group stage,2006,1,46.0,1476.405088,61.0,1421.538339
Germany,Poland,1,0,Group stage,2006,2,10.0,1735.771984,36.0,1526.183359
Korea Republic,Togo,2,1,Group stage,2006,2,25.0,1591.630886,122.0,1146.703618
France,Switzerland,0,0,Group stage,2006,1,3.0,1869.428449,19.0,1650.064179
Brazil,Croatia,1,0,Group stage,2006,2,6.0,1765.856297,11.0,1714.865572
Australia,Japan,3,1,Group stage,2006,2,27.0,1579.34264,18.0,1661.576187
Italy,Ghana,2,0,Group stage,2006,2,12.0,1704.733836,73.0,1346.881205
Mexico,IR Iran,3,1,Group stage,2006,2,14.0,1687.481759,20.0,1619.58163
Angola,Portugal,0,1,Group stage,2006,0,89.0,1262.219698,5.0,1766.177547
England,Paraguay,1,0,Group stage,2006,2,4.0,1827.048678,40.0,1505.349689
Trinidad and Tobago,Sweden,0,0,Group stage,2006,1,103.0,1221.951833,38.0,1509.785392
Argentina,Côte d'Ivoire,2,1,Group stage,2006,2,1.0,1876.118331,33.0,1540.869533
Germany,Costa Rica,4,2,Group stage,2006,2,10.0,1735.771984,52.0,1457.00228
Poland,Ecuador,0,2,Group stage,2006,0,36.0,1526.183359,23.0,1598.51582
Germany,Brazil,0,2,Final,2002,0,10.0,1735.771984,6.0,1765.856297
Korea Republic,Türkiye,2,3,Third-place match,2002,0,25.0,1591.630886,22.0,1605.730921
